alfabetizado,actualmente_estudia,nivel_educativo_alcanzado,nivel_educativo_aprobado,nivel_educativo_matriculado,nivel_educativo_en_curso,recibe_plantel_edu_alimentos,pensiones_modalidad_presencial,pensiones_modalidad_virtual,pensiones_modalidad_mixta,comunicacion_maestros_sp,educacion_sk
Sí,Sí,,,Básica secundaria (6 a 9),9.0,,2.0,1.0,2.0,No,190
Sí,Sí,,,Universitario,6.0,Sí,1.0,2.0,2.0,,191
Sí,Sí,,,Básica Primaria (1 a 5),3.0,,2.0,1.0,2.0,Sí,192
Sí,Sí,,,Básica Primaria (1 a 5),4.0,,2.0,1.0,2.0,Sí,193
Sí,Sí,,,Básica Primaria (1 a 5),1.0,,2.0,1.0,2.0,No,194
No,Sí,,,Básica Primaria (1 a 5),3.0,No,1.0,2.0,2.0,No,195
No,Sí,,,Básica Primaria (1 a 5),3.0,No,1.0,2.0,2.0,Sí,196
Sí,No,Tecnológico sin título,Ninguno,,,,,,,,197
Sí,Sí,,,Tecnológico,2.0,,2.0,1.0,2.0,,198
Sí,Sí,,,Tecnológico,4.0,,2.0,1.0,2.0,,199
Sí,No,Postgrado sin título,Ninguno,,,,,,,,200
No,Sí,,,Básica Primaria (1 a 5),4.0,No,1.0,2.0,2.0,Sí,201
No,Sí,,,Básica Primaria (1 a 5),2.0,Sí,1.0,2.0,2.0,No,202
Sí,Sí,,,Universitario,5.0,Sí,1.0,2.0,2.0,,203
Sí,Sí,,,Básica secundaria (6 a 9),9.0,,2.0,1.0,2.0,Sí,204
Sí,Sí,,,Técnico,2.0,Sí,1.0,2.0,2.0,,205
Sí,No,Técnico con título,Media (10º--13º),,,,,,,,206
Sí,Sí,,,Postgrado,4.0,No,1.0,2.0,2.0,,207
Sí,Sí,,,Básica Primaria (1 a 5),4.0,No,2.0,2.0,1.0,Sí,208
Sí,Sí,,,Universitario,7.0,,2.0,1.0,2.0,,209
Sí,Sí,,,Media (10 a 13),11.0,No,2.0,2.0,1.0,Sí,210
Sí,Sí,,,Media (10 a 13),10.0,,2.0,1.0,2.0,Sí,211
Sí,Sí,,,Media (10 a 13),12.0,No,2.0,2.0,1.0,Sí,212
Sí,Sí,,,Universitario,6.0,,2.0,1.0,2.0,,213
Sí,Sí,,,Básica secundaria (6 a 9),9.0,No,2.0,2.0,1.0,No,214
Sí,Sí,,,Media (10 a 13),13.0,Sí,1.0,2.0,2.0,Sí,215
Sí,Sí,,,Media (10 a 13),12.0,No,1.0,2.0,2.0,No,216
No,Sí,,,Básica Primaria (1 a 5),4.0,Sí,1.0,2.0,2.0,Sí,217
Sí,Sí,,,Media (10 a 13),10.0,,2.0,1.0,2.0,No,218
Sí,Sí,,,Técnico,1.0,Sí,1.0,2.0,2.0,,219
Sí,Sí,,,Universitario,4.0,Sí,2.0,2.0,1.0,,220
No,Sí,,,Básica Primaria (1 a 5),3.0,Sí,1.0,2.0,2.0,Sí,221
Sí,Sí,,,Media (10 a 13),10.0,No,2.0,2.0,1.0,Sí,222
Sí,Sí,,,Técnico,2.0,No,2.0,2.0,1.0,,223
Sí,Sí,,,Básica secundaria (6 a 9),9.0,Sí,2.0,2.0,1.0,Sí,224
Sí,Sí,,,Básica secundaria (6 a 9),6.0,Sí,2.0,2.0,1.0,No,225
No,Sí,,,Básica Primaria (1 a 5),4.0,No,1.0,2.0,2.0,No,226
Sí,Sí,,,Media (10 a 13),10.0,Sí,2.0,2.0,1.0,No,227
Sí,Sí,,,Básica secundaria (6 a 9),8.0,Sí,2.0,2.0,1.0,No,228
Sí,Sí,,,Básica secundaria (6 a 9),8.0,Sí,2.0,2.0,1.0,Sí,229
Sí,Sí,,,Básica Primaria (1 a 5),4.0,Sí,2.0,2.0,1.0,Sí,230
Sí,Sí,,,Básica secundaria (6 a 9),6.0,,2.0,1.0,2.0,Sí,231
Sí,Sí,,,Media (10 a 13),12.0,,2.0,1.0,2.0,Sí,232
Sí,Sí,,,Tecnológico,4.0,No,2.0,2.0,1.0,,233
Sí,Sí,,,Universitario,2.0,Sí,2.0,2.0,1.0,,234
