actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,No,FABRICACION DE PIEZAS METALICAS PARA VIVIENDAS VEHICULOS INDUSTRIA Y OTROS SECTORES ECONOMICOS,31129
Trabajando,,,,,No,VENDER VIVERES Y OTROS PRODUCTOS AL DETAL,31130
Trabajando,,,,,Sí,SERVICIO DE ASESORAMIENTO EN PROCESOS PENALES Y ADMINSTRATIVOS,31131
Trabajando,,,,,Sí,PRESTAR SERVICIOS DE ATENCION MEDICA,31132
Trabajando,,,,,Sí,OFRECER PRODUCTOS PARA EL CUIDADO Y MEJORAMIENTO ESTETICO DEL CABELLO,31133
Trabajando,,,,,No,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTIMOTRIZ,31134
Trabajando,,,,,No,CONSTRUCCION Y MEJORA DE VIVIENDA,31135
Trabajando,,,,,No,SERVICIO DE CONFECCION DE ROPA PARA DAMA,31136
Trabajando,,,,,No,SERVICIO DE PARQUEADERO DE MOTOS Y CARROS,31137
Trabajando,,,,,Sí,CORTE Y LIMPIEZA DE CANA,31138
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE MALEZA DE CULTIVO DE CAFE,31139
Oficios del hogar,Sí,,,,No,ARREGLA Y CONFECCIONA ROPA,31140
Trabajando,,,,,Sí,SERVICIO DE TRANSPORTE DE ENCOMIENDAS,31141
Trabajando,,,,,Sí,SERVICIOS FARMACEUTICOS,31142
Trabajando,,,,,No,VENTA DE PRODUCTOS DE BELLEZA Y COSMETICOS,31143
Buscando trabajo,Sí,,,,Sí,MAQUINAS DE PLANOS,31144
Trabajando,,,,,Sí,CUIDADO DE NINAS Y NINOS,31145
Trabajando,,,,,Sí,VENTA DE ALIMENTOS PREPARADOS AL POR MENOR DESAYUNOS ALMUERZOS,31146
Trabajando,,,,,No,INSTALACION DE REPUESTOS DE MOTO,31147
Oficios del hogar,No,Sí,,,No,VENDER ROPA Y MATERIALES PARA MEDICOS,31148
Trabajando,,,,,Sí,SIEMBRA DE CANA Y ELABORACION DE AZUCAR,31149
Trabajando,,,,,Ya es pensionado,SERVICIO HOTELERIA Y TURISMO,31150
Trabajando,,,,,No,VIGILAR LOCALES COMERCIALES,31151
Trabajando,,,,,No,VENTA DE ROPA AL POR MAYOR Y MENOR,31152
Trabajando,,,,,Sí,SERVICIO DE GRUA DE VEHICULOS LAS 24 HORAS DEL DIA EN EL DEPARTAMENTO DE NORTE DE SANTANDER Y ALREDEDORES,31153
Trabajando,,,,,No,OPERADOR POSTAL DE PAGO Y JUEGOS DE SUERTE Y AZAR,31154
Trabajando,,,,,No,SERVICIO DE REPARACION Y MANTENIMIENTO DE VEHICULO,31155
Trabajando,,,,,No,ORNAMENTACION Y SOLDADURA EN CONSTRUCCIONES METALICAS,31156
Trabajando,,,,,Sí,PRESTA SERVICIO DE ALOJAMIENTO TEMPORAL O A CORTO PLAZO PARA EL DESCANSO O DISFRUTE,31157
Trabajando,,,,,No,COMERCIO AL POR MENOR DE GANADO VACUNO EN PIE,31158
Trabajando,,,,,Sí,PRESTA SERVICIO DE SEGURIDAD A EMPRESAS,31159
Trabajando,,,,,Sí,ELABORACION DE ROPA PARA MUJER AL POR MAYOR,31160
Trabajando,,,,,No,HACER ARREGLOS DE COMPRESION Y MAQUINARIA EN TRACTORES O COSECHADORAS DE CUENTOS EN CUANTO AJUSTES Y REPARACION,31161
Trabajando,,,,,No,CUIDADO DE NINA DE TRES ANOS,31162
Oficios del hogar,No,Sí,,,No,VENTA DE LICORES AL POR MENOR,31163
Trabajando,,,,,Sí,SERVICIO DE CONSTRUCCION DE OBRAS DE INGENIERIA,31164
Trabajando,,,,,Sí,VENTA DE ROPA UNISEX,31165
Trabajando,,,,,No,COMPRA Y VENTA DE VIVIRES Y ABARROTES AL POR MENOR,31166
Trabajando,,,,,No,ACTIVIDADES DE CRIA Y VENTA DE GANADERIA,31167
Trabajando,,,,,No,REPARACION DE ABANICOS Y FABRICACION DE ALCANCIAS EN MADERA,31168
Trabajando,,,,,Sí,VENTAS DE ARTICULOS DE HOGAR,31169
Trabajando,,,,,No,GIANDANADOR CUIDO DE GABADO Y SIEMBRA DE CULTIVOS,31170
Trabajando,,,,,No,ELABORACION DE RODA CLASE DE ELEMENTOS METALICOS PUERTAS VENTANAS PLANCHONES REMOLCADORES,31171
Trabajando,,,,,No,DISENO Y ELABORACION DE PEDICURE Y MANICURE,31172
Trabajando,,,,,No,REPARACION DE MUBLES Y CANOAS,31173
Trabajando,,,,,No,CORTE DE CABELLO Y ASESORIA DE IMAGEN PARA CABALLEROS,31174
Trabajando,,,,,No,SIMBRA Y VENDE DE ARROZ Y YUCA,31175
Trabajando,,,,,No,FINCA AGROPECUARIA PRODUCTORA DE LECHE Y CULTIVOS PARA EL CONSUMO COMO YUCA PLATANO Y MAIZ,31176
Oficios del hogar,No,No,Sí,,,FINCA AGROPECUARIA PRODUCTORA DE LECHE Y CULTIVOS PARA EL CONSUMO COMO YUCA PLATANO Y MAIZ,31177
Trabajando,,,,,No,SERVICIO DE AVISOS AMBULANTE POR ALTOPARLATES,31178
Oficios del hogar,Sí,,,,No,VENTA DE JUEGOS AL AZAR AMBULANTE,31179
Trabajando,,,,,No,TOCA LA TROMPETA,31180
Trabajando,,,,,No,ACTIVIDADES DE LIMPIEZA DOMESTICA,31181
Trabajando,,,,,No,SIEMBRA PASTO PARA LA ALIMENTACION DE GANADO BOVINO,31182
Trabajando,,,,,Sí,MANTENIMIENTO PREVENTIVO CORRECTIVO Y PREDICTIVO DE MAQUINARIA DE PRODUCCION,31183
Trabajando,,,,,No,LLEVAR PAQUETES A DIFERENTES DIRECCIONES,31184
Trabajando,,,,,No,PRESTA SERVICIO DE TRANSPORTE DE CARGA PESADA NACIONAL,31185
Trabajando,,,,,Sí,COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO POR ALIMENTOS BEBIDAS,31186
Trabajando,,,,,Sí,FABRICACION DE VEHICULOS AUTOMOTORES Y SUS MOTORES,31187
Trabajando,,,,,No,VENTA DE AL POR MAYOR DE CULTIVOS DE PATILLA,31188
Trabajando,,,,,No,VENTA AL POR MAYOR DE CULTIVOS DE PATILLA,31189
Trabajando,,,,,Sí,SRRVICIO DE MANTENIMIENTO Y FUMIGACION DE PLANTIOS DE CANA,31190
Trabajando,,,,,No,ELABORACION  Y VENTA RASPADOS SABORIZADOS DE COLA Y TAMARINDO,31191
Trabajando,,,,,Sí,REGULAR EL COMERCIO DE LA CIUDAD,31192
Trabajando,,,,,No,ACTIVIDAD AGRICULTURA,31193
Trabajando,,,,,No,ACTIVIDAD AGRICOLA,31194
Oficios del hogar,Sí,,,,No,GANADERIA ORDENO Y CEVA DE GANADO,31195
Trabajando,,,,,No,MANTENIMIENTO Y VENDA DE REPUESTOS PARA VEHICULOS,31196
Trabajando,,,,,No,PRESTA EL SERVICIO DE TRASPORTE EN MOTO,31197
Trabajando,,,,,No,SERVICIO DE MANTENIDO DE FINCA,31198
Trabajando,,,,,No,PREPARACION DE AREPAS PARA VENTA,31199
Trabajando,,,,,No,SERVICIO BDE CONSTRUCCION DE VIVIENDAS,31200
Estudiando,No,No,No,Sí,Ya es pensionado,None,31201
Estudiando,Sí,,,,No,SERVICIO DE EDUCACION SUPERIOR,31202
Trabajando,,,,,No,EMSAMBLAJE DE BOLSOS,31203
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DOMESTICO,31204
Trabajando,,,,,No,ACTIVIDADES AGRICOLAS COMO LIMPIA DE POTREROS Y  CULTIVOS CON GUADANA  BOMBA DE ESPALDA  O MACHETE,31205
Trabajando,,,,,No,PREPARACION Y VENTA DE ALMUERZOS  PARA SERVIR A LA MESA,31206
Trabajando,,,,,No,PREPARACION Y VENTA DE ALMUERZOS PARA SERVIR A LA MESA,31207
Trabajando,,,,,Sí,BRINDAR SEGURIDAD A PERSONAS DE ALTO RIESGO UNP,31208
Trabajando,,,,,No,DISTRIBUCION DE PRODUCTOS A DOMICILIO,31209
Trabajando,,,,,Sí,VENTA DE LA CANASTA FAMILIAR MUEBLES ELECTRODOMESTICOS,31210
Trabajando,,,,,No,HACER ENSAMBLE DE CALZADO INCLUYE MOLDES O PREPARAR PLANOS Y DISENAR EL CALZADO DE DIFERENTES ESTILOS Y TALLAS,31211
Trabajando,,,,,No,CRIA Y VENTA DE EQUINOS,31212
Trabajando,,,,,Sí,REMODELACION CONSTRUCCION DE VIVIENDAS EN CONCRETO,31213
Trabajando,,,,,No,SERVICIOS DE ASEO LAVADO Y PLANCHADO,31214
Trabajando,,,,,No,FINCA AGRICOLA DE MAIZ,31215
Trabajando,,,,,Sí,REPRESENTAR LEGALMENTE A LA COMUNIDAD INDIGENA EJERCER AUTORIDAD,31216
Trabajando,,,,,Sí,VENTA DE POLLO ASADO BROSTER SOPAS ARROZ CHINO COMIDA RAPIDA ETC,31217
Trabajando,,,,,No,SALVAGUARDAR EL CUIDADO DE NINOS Y NINAS,31218
Trabajando,,,,,No,VENTA DE QUESO Y DE BOLLO DE MAZORCA Y DE QUESO,31219
Trabajando,,,,,Ya es pensionado,SERVICIO DE EDUCACION EN PREESCOLAR,31220
Trabajando,,,,,No,CUIDA MOTOS EN LA CALLES POR PROPINAS VOLUNTARIAS,31221
Trabajando,,,,,No,COMPRA Y EXPORTACION DE PEZCADO,31222
Trabajando,,,,,Sí,PRODUCCION Y VENTA DE HUEVOS,31223
Trabajando,,,,,No,SERVICIOS GUBERNAMENTAL ES,31224
Trabajando,,,,,No,SERVICIOS SOCIALES PARA LA ATENCION A LA PRIMERA INFANCIA,31225
Trabajando,,,,,No,CONSTRUCCION DE PROYECTOS SOCIALES,31226
Trabajando,,,,,Sí,SERVICIOS GUBERNAMENTALES,31227
Trabajando,,,,,No,SIEMBRA CULTIVOS DE FRIJOL Y MAIZ EN SU FINCA,31228
Trabajando,,,,,No,COMPRA Y VENTA DE GASEOSA Y CERVEZA EN SU VIVIENDAS,31229
Trabajando,,,,,No,LIMPIA Y SIEMBRA CULTIVOS DE FRIJOL MAIZ Y PLATANO EN VARIAS FINCAS,31230
Trabajando,,,,,No,SIEMBRA MAIZ YUCA EN VARIAS FINCAS,31231
Trabajando,,,,,No,CRIA POLLOS DE ENGORDE EN SU VIVIENDA,31232
Trabajando,,,,,No,SIEMBRA DE CULTIVOS AGRICOLAS Y GANADERIA,31233
Trabajando,,,,,Sí,PRODUCCION DE LECHE DE GANADO VACUNO,31234
Trabajando,,,,,No,FINCA GANADERA CRIA DE GANADO  BOVINO PARA LA PRODUCCION DE LECHE,31235
Trabajando,,,,,No,FINCA AGRICOLA DE CULTIVO DE PLATANO YUCA,31236
Trabajando,,,,,No,CULTIVOS DE CAFE Y PLATANOS,31237
Trabajando,,,,,No,VENDER AL POR MENOR DE MANERA AMBULANTE CHORIZOS ASADOS A LOS HABITANTES DE SU COMUNIDAD,31238
Trabajando,,,,,No,SE DEDICA A LOS OFICIOS VARIOS DEL CAMPO TALES COMO LIMPIA DE CULTIVOS Y SIEMBRA,31239
Trabajando,,,,,No,FINCA AGRICOLA DE CUTIVO DE PLATANO Y CACAO,31240
Trabajando,,,,,Sí,COLOCAR INTERNET Y CANALES DE TELEVISION  FIJO EN HOGARES Y EMPRESAS,31241
Trabajando,,,,,Sí,COMERCIO AL POR MAYOR Y MENOR DE PRODUCYOS PARA LA CANASTA FAMILIAR,31242
Trabajando,,,,,No,INSTALACION Y MANTENIMIENTO DE REDES DE INTERNET Y CANALES DE TELEVISION  FIJO EN HOGARES,31243
Trabajando,,,,,No,SIEMBRA DE MAIZ PARA LA VENTA AL POR MENOR,31244
Oficios del hogar,Sí,,,,No,HACER Y CARGAR MEZCLA DE CEMENTO Y ARENA,31245
Trabajando,,,,,No,TRANSPORTAR DE FORMA INFORLMAL PERSONAS EN MOTO,31246
Trabajando,,,,,Sí,CIRCUNSCRIPCION ECLESIASTICA DE LA IGLESIA CATOLICA EN COLOMBIA,31247
Trabajando,,,,,No,PRESTAR Y COBRAR DINERO EN FORMA DE PAGO A DIARIO,31248
Trabajando,,,,,No,DESHIERBA SIEMBRA CUIDA Y RECOGE CULTIVO DE MORA,31249
Oficios del hogar,Sí,,,,No,SIEMBRA DE CULTIVOS DE MORA,31250
Trabajando,,,,,Sí,SERVICIO PUBLICO DE EDUCACION EN BASICA PRIMARIA,31251
Trabajando,,,,,No,PREPARAR Y VENDER ALMUERZOS,31252
Oficios del hogar,Sí,,,,No,SERVICIO DE ASEO COCINAR LAVAR ROPA,31253
Buscando trabajo,Sí,,,,No,VENTA DE PANES Y REPOSTERIA,31254
Trabajando,,,,,No,ASEO A LOS HOGARES,31255
Trabajando,,,,,Sí,ADMINISTRACION PLANIFICACION Y SUPERVISION DE LA EDUCACION,31256
Otra actividad ¿cuál?,Sí,,,,No,SERVICIO DE INSTRUCCION MUSICAL DE INSTRUMENTOS DE VIENTO Y PERCUSION DE FORMA PARTICULAR,31257
Trabajando,,,,,No,CULTIVO Y A LA VENTA DE PLATANO Y MAIZ,31258
Trabajando,,,,,Sí,PRODUCCION DE FRUTAS PROGRAMADAS VENTA DE ZUQUINI A INTERMEDIARIOS,31259
Oficios del hogar,Sí,,,,No,VENDER PRODUCTOS DE CATALOGO DE NOVAVENTA Y ESIKA,31260
Trabajando,,,,,No,VENDER AL POR MENOR COMIDAS RAPIDAS COMO HAMBURGUESAS SALCHIPAPAS PERROS CALIENTES PATACONES RELLENOS,31261
Trabajando,,,,,No,CONSTRUCCION Y ACABADOS DE VIVIENDAS,31262
Trabajando,,,,,Sí,PROYECTOS DE EXPLORACION CON ENTIDADES PUBLICAS COMO ECOPETROL Y EMPRESAS PRIVADAS,31263
Trabajando,,,,,No,ATENCION EN VENTA DE VIVERES Y COMIDA PREPARADA,31264
Trabajando,,,,,Sí,VENTA DE COMBUSTIBLES Y LUBRICANTES PARA VEHICULOS DE MOTOR,31265
Trabajando,,,,,No,TRANSPORTE DE PERSONAS EN VEHICULO TIPO TAXI,31266
Trabajando,,,,,No,OFRECER ASESORAMIENTOS PARA LA COMPRA DE VEHICULOS AUTOMOTRIZ,31267
Oficios del hogar,Sí,,,,No,VENDER PERFUMES AL POR MENOR PARA DAMAS Y CABALLEROS,31268
Trabajando,,,,,No,SERVICIO DE LIMPIEZA,31269
Trabajando,,,,,No,SERVICIO DE PRESTAR PLATA AL INTERES,31270
Trabajando,,,,,No,TALA Y VENTA DE ARBOLES MADERABLES,31271
Trabajando,,,,,No,TRANSPORTE NO REGULADO DE PERSONAS EN MOTOCICLETA,31272
Trabajando,,,,,No,VENTA DE CRIA DE GANADO BOVINO,31273
Trabajando,,,,,No,SERVICIOS GENERALES Y DOMESTICO,31274
Trabajando,,,,,Sí,COMERCIO DE PRODUCTOS DE PAPELERIA Y UTILES ESCOLARES AL POR MENOR,31275
Trabajando,,,,,No,COMPRA Y VENTA DE DULCES AL DETAL,31276
Oficios del hogar,Sí,,,,No,CRIA DE GANADO VACUNO LECHERO,31277
Trabajando,,,,,Sí,SERVICIOS DE EDUCACION PRESCOLAR PRIMARIA SECUNDARIA Y MEDIA,31278
Oficios del hogar,Sí,,,,No,REALIZAR LABORES DOMESTICAS A DIFERENTES HOGARES,31279
Trabajando,,,,,No,AGRUCUITURA Y PESCA,31280
Trabajando,,,,,No,REALIZAR ASEO EN VARIOS HOGARES,31281
Trabajando,,,,,No,CONSTRUCCION DE OBRA CIVILES Y RESIDENCIALES,31282
Oficios del hogar,No,Sí,,,No,ELABORACION Y VENTA DE CUBETAS DE HIELO Y PAN AL POR MENOR,31283
Trabajando,,,,,No,TRANSPORTE INDIVIDUAL DE PASAJEROS EN BICITAXI,31284
Trabajando,,,,,No,CULTIVA Y VENDE ARROZ MAIZ Y PLATANO,31285
Trabajando,,,,,No,CARGA BULTO CON CARRETILLA EN CENABASTOS,31286
Oficios del hogar,Sí,,,,No,TRANSPORTE INDIVIDUAL DE PASAJEROS POR CARRETERA A SU LUGAR DE ORIGEN,31287
Trabajando,,,,,Sí,SERVICIOS MEDICOS QUIRURGICOS INTEGRALES,31288
Trabajando,,,,,No,COMSTRUCCION DE CASAS NUEVAS PARA USO RESIDENCIAL,31289
Trabajando,,,,,Sí,VISITA Y VENDE PRODUCTOS GASEOSO DE LA MARCA MAX TIENDA A TIENDA,31290
Trabajando,,,,,No,CRIA Y VENTA DE LECHE,31291
Estudiando,Sí,,,,No,CRIA DE GANADO Y VENTA DE LECHE,31292
Trabajando,,,,,No,CONSTRUCCION REMODELACION Y DESENO DE VIVIENDAS CON PASTA,31293
Trabajando,,,,,Sí,CRIA Y VENTA DE GANADO VACUNO,31294
Trabajando,,,,,No,EXTRACION Y EXPLOTACION ARTESANAL DE ORO,31295
Trabajando,,,,,No,EXTRACCION Y EXPLOTACION  ARTESANAL DE ORO,31296
Oficios del hogar,Sí,,,,No,DESMONTE DE UN TERRENO PARA UN CULTIVO,31297
Trabajando,,,,,No,CONFESIONA ROPA DE TODO TIPO,31298
Trabajando,,,,,Sí,DISENO Y VENTA DE TODO TIPO DE IMPRESOS,31299
Trabajando,,,,,No,CONSTRUCCION DE VIVIENDAS FAMILIARES,31300
Trabajando,,,,,No,ELABORACION DE ARTICULOS PAR EL HOGAR,31301
Trabajando,,,,,No,ELABORACION Y VENTA DE PUERTAS Y VENTANAS,31302
Trabajando,,,,,No,VENTA AL POR MENOR DE MUEBLES EN MADERA PARA EL HOGAR,31303
Trabajando,,,,,No,AGRICULTOR SIEMBRA PINA Y GUAMA Y AJI TAMBIEN SIEMBRA YUCA BRAVA PARA HACER CASABE Y MANOCO PARA CONSUMO Y VENTA,31304
Buscando trabajo,Sí,,,,No,LAVAR Y HACER ASEO EN OTRAS VIVIENDAS CUANDO LA LLAMEN,31305
Trabajando,,,,,Sí,GUARDA VIGILANTE,31306
Buscando trabajo,Sí,,,,No,VENDER COMBUSTIBLE PARA COCINAR  LENA,31307
Buscando trabajo,Sí,,,,No,ORDENAR GANADO VACUNO LECHERO,31308
Oficios del hogar,Sí,,,,No,ATENCION Y CUIDADO DE NINOS PRIMERA INFANCIA,31309
Trabajando,,,,,No,CONSTRUCCION Y OBRAS CIVILES,31310
Trabajando,,,,,No,JORNAL EN JARDINERIA PODA DESHIERBA Y TALA,31311
Trabajando,,,,,,RECICLAR CARTON PAPEL Y PLASTICO,31312
Oficios del hogar,Sí,,,,No,CRIA DE ANIMALES PARA LA VENTA,31313
Oficios del hogar,No,Sí,,,No,COMPRAR VENDER GELATINAS AL POR MENOR,31314
Trabajando,,,,,No,RECOLECTAR Y VENDER RESIDUOS PLASTICOS,31315
Oficios del hogar,Sí,,,,No,SERVICIOS DE ALINEACION BALANCEO DE NEUMATICOS,31316
Trabajando,,,,,No,SERVICIOS DE ALINEACION BALANCEO DE LLANTAS,31317
Trabajando,,,,,No,ENCHURA DE TABACOS,31318
Trabajando,,,,,No,ELABORACION DE DOCUMENTOS CONTABLES Y CARTAS DE USO COMERCIAL,31319
Oficios del hogar,No,Sí,,,No,COMPRAR Y VENDER CAMISETAS AL MAYOR Y DETAL,31320
Trabajando,,,,,No,FINCA AGRICOLA DE CULTIVO DE PLATANO Y YUCA,31321
Trabajando,,,,,No,TRANSPORTE COLECTIVO DE PASAJERO POR CARRETERAS,31322
Trabajando,,,,,No,ELABORACION Y VENTA DE ZAPATOS EN CUERO AL POR MENOR,31323
Trabajando,,,,,Sí,DISTRIBUCION  COMERCIALIZACION  Y VENTA DE CALZADO AL POR MENOR,31324
Trabajando,,,,,No,CORTAR CESPED PODAR ARBOLES Y RECOGER Y ALMACENAR EN BUENAS CONDICIONES LOS RESIDUOS AMBIENTALES,31325
Trabajando,,,,,No,CORTAR CESPED PODAR ARBOLES RECOGER Y ALMACENAR RESIDUOS AMBIENTALES,31326
Trabajando,,,,,No,VENTAS AMBULANTES DE FRUTAS Y VERDURAS,31327
Trabajando,,,,,Sí,PRODUCIR CAMISAS DE MOTOR HIERRO GRIS,31328
Trabajando,,,,,No,SEMBRAR  Y VENDER PLATANO Y MAIZ,31329
Trabajando,,,,,No,ALQUILER DE MESAS DE JUEGOS DE ENTRETENIMIENTO,31330
Trabajando,,,,,No,VENTA DE ALMUERZOS Y COMIDAS RAPIDAS,31331
Trabajando,,,,,Sí,PRODUCCION DE POLLO,31332
Trabajando,,,,,No,SERVICIO RECOLECCION DE CAFE EN FINCAS,31333
Trabajando,,,,,No,CULTIVO Y VENTA AL POR MAYOR DE CAFE Y CACAO,31334
Trabajando,,,,,No,COMPRA Y VENDE QUESO,31335
Trabajando,,,,,No,FINCA GANADERA DE DOBLE PROPOSITO CARNE Y LECHE,31336
Trabajando,,,,,No,FINCA GANADERA DE GANADO BOVINO DOBLE PROPOSITO CARNE Y LECHE,31337
Trabajando,,,,,No,CULTIVO Y VENTA DE YUCA PLATANO Y MAIZ,31338
Trabajando,,,,,No,CULTIVO Y VENTA DE CAFE Y CANA DE AZUCAR,31339
Trabajando,,,,,No,CULTIVO DE CAFE Y CACAO PARA LA VENTA AL POR MAYOR,31340
Trabajando,,,,,Sí,CONSTRUCCION DE OLEODUCTOS GASODUCTOS Y SERVICIOS PETROLEROS,31341
Oficios del hogar,Sí,,,,No,PRODUCCION DE MAIZ,31342
Trabajando,,,,,No,VENDEDOR DE VISCERAS AL POR MENOR,31343
Trabajando,,,,,No,VENDEDOR DE ABARROTES AL POR MENOR,31344
Oficios del hogar,Sí,,,,No,VENTA DE GRANOS ABARROTES GASEOSA HELADOS,31345
Trabajando,,,,,No,RECICLAJE DE CARTON PLASTICO Y VIDRIO,31346
Trabajando,,,,,No,CULTIVO Y VENTA DE CAFE CACAO Y CANA DE AZUCAR,31347
Trabajando,,,,,No,COMPRA Y VENTA AL POR MAYOR DE MEDICINA NATURALES,31348
Oficios del hogar,Sí,,,,No,ACTIVIDADES DE JUEGOS DE AZAR Y DE MESA,31349
Trabajando,,,,,Sí,VIGILANCIA Y SEGURIDAD DE AREA ESPECIFICA,31350
Trabajando,,,,,No,LIMPIEZA DE CALZADO CON CEPILLO Y TINER,31351
Trabajando,,,,,No,SOLDADURA DE DIFERENTES TIPO DE METALES,31352
Trabajando,,,,,No,FUMIGA DE CULTIVOS CON BOMBA DE ESPALDA,31353
Trabajando,,,,,No,CONTRUCCION DE OBRAS CIVILES Y RESIDENCIALES,31354
Trabajando,,,,,Sí,TRANSPORTE DE PERSONAS POR MEDIO DE BUSES POR EL PAIS,31355
Trabajando,,,,,No,EJECUTA TAREAS DE ASEO COCINA LAVADO PLANCHADO CUIDADO DE NINOS Y JARDINERIA,31356
Trabajando,,,,,No,PREPARACION Y VENTAS DE COMIDAS AL POR MENOR,31357
Buscando trabajo,Sí,,,,No,ELABORACION VENTA Y ALQUILER DE ESTIVAS,31358
Buscando trabajo,Sí,,,,No,PROMOVER PROCESOS POLITICO PARA ELECCIONES DE ESTADO,31359
Trabajando,,,,,Sí,ELABORACION Y VENTA DE VENTANAS Y PUERTAS EN VIDRIO Y METAL,31360
Trabajando,,,,,No,VENTA DE MATERIAL DE RECICLAJE,31361
Trabajando,,,,,Sí,PRODUCCION Y VENTA DE BLOQUE DE ALTOS ESTANDARES,31362
Trabajando,,,,,Sí,VENTA DE ARTICULOS DOMESTICOS,31363
Oficios del hogar,Sí,,,,No,SERVICIO DE DESYERBAR JARDIN EN DIFERENTES FINCAS,31364
Oficios del hogar,Sí,,,,No,SERVICIO DE PELUQUERIA Y ASEO A CANINOS,31365
Trabajando,,,,,No,COMPRA Y VENDE VIVERES Y ABARROTES AL POR MENOR,31366
Trabajando,,,,,No,COMPRA Y VENTA VIVERES Y ABARROTES AL POR MENOR,31367
Oficios del hogar,Sí,,,,No,ELABORA Y VENDE MAZAMORRA DE MAIZ LOS DOMINGOS DE MANERA AMBULANTE,31368
Trabajando,,,,,No,TAPIZA Y REPARA MUEBLES SOFAS COLCHONES LOS FORRA Y LOS RELLENA,31369
Trabajando,,,,,No,LIMPIEZA RECOLECCION Y VENTA  DE FRUTOS AMAZONICOS COPOAZU BOROJO ARAZA SACHA INCHI CACAO CHONTADURO,31370
Trabajando,,,,,No,ELABORACION Y VENTA DE AREPAS AL DE TAL,31371
Trabajando,,,,,No,COMERCIO DE PARTES PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES,31372
Oficios del hogar,No,No,Sí,,No,FINCA GANADERA PRODUCTORA DE LECHE Y QUESO,31373
Trabajando,,,,,No,FINCA GANADERA PRODUCTORA DE LECHE Y QUESO,31374
Trabajando,,,,,No,DESMONTA Y PREPARA LA TIERRA PARA LOS CULTIVO DE NAME,31375
Trabajando,,,,,Sí,OFICINA DE CONSULTORIA LEGAL,31376
Trabajando,,,,,No,TURISMO MUESTRA DE LA HISTORIA DEL GUAVIARE,31377
Trabajando,,,,,No,VENDER VALDES JUGUETES  Y FLOTADORES  EN LA PLAYA,31378
Trabajando,,,,,No,VENDER VALDES Y FLOTADORES  EN LA PLAYA,31379
Trabajando,,,,,No,CORTAR MALEZA Y LIMPIAR TERRENO PARA LA SIEMBRA DE CULTIVO,31380
Trabajando,,,,,No,PREPARAR Y VENDER PASTELES DE RES Y CERDO A OTROS HOGARES,31381
Trabajando,,,,,Sí,SERVICIO DE DESTAPADO DE CANERIA A PARTICULARES,31382
Trabajando,,,,,Sí,ADMINISTRACION DE PUERTO MARITIMO,31383
Trabajando,,,,,No,COMPRA Y VENTA DE CAPRINOS AL POR MENOR,31384
Trabajando,,,,,Sí,TRANSPORTADORA,31385
Trabajando,,,,,No,HACE REFUERZOS EDUCATIVOS PARA NINOS DE PRIMARIA Y BACHILLERATO DESDE SU CASA,31386
Trabajando,,,,,No,SIEMBRA Y COSECHA DE PLATANO CACAO Y CAFE,31387
Trabajando,,,,,No,SIEMBRA Y COSECHA DE PLATANO CAFE Y CACAO,31388
Trabajando,,,,,No,CULTIVA DE YUCA PLATANO Y CAFE,31389
Trabajando,,,,,Sí,FABRICACION Y VENTA DE CHOCOLATES,31390
Trabajando,,,,,Sí,VENTA DE QUIMICOS PARA PLANTAS,31391
Trabajando,,,,,No,PINTAR Y ESTUCAR EN OTROS ESTABLECIMIENTOS,31392
Trabajando,,,,,Sí,COMPRA Y VENTA DE ROPA PARA NINOS Y ADULTOS,31393
Trabajando,,,,,Sí,PRESTAR LOS SERVICIOS DE CONTABILIDAD Y FINANCIEROS A PERSONAS NATURALES Y JURIDICAS,31394
Trabajando,,,,,No,CULTIVO Y VENTA DE MAIZ YUCA,31395
Trabajando,,,,,No,SERVICIOS DE OFICIOS VARIOS DE LABORES DEL CAMPO EN VIVIENDAS RESIDENCIALES,31396
Trabajando,,,,,Sí,COMERCIALIZACION DE ELECTRODOMESTICOS Y VENTA DE ROPA,31397
Buscando trabajo,Sí,,,,No,ENFERMERIA ATENCION PACIENTE EN CASA,31398
Trabajando,,,,,No,LATONERIA MECANICA Y PINTURA DE CARROS,31399
Trabajando,,,,,No,LIMPIEZA DE CULTIVOS DE PANCOGER,31400
Trabajando,,,,,Sí,FABRICACION DE NEUMATICOS,31401
Trabajando,,,,,No,COMERCIO AL POR MENOR COMPRA Y VENTA DE VELAS AROMATICAS,31402
Trabajando,,,,,No,LIMPIAR TERRENO PARA LA SIEMBRA DE CULTIVOS DE NAME YUCA MAIZ ARREGLAR CERCAS Y HACER ARADO DE LA TIERRA,31403
Trabajando,,,,,No,PARA AUTOCONSUMO Y VENTA DE MANOCO CASABE ALMIDON COSECHA DE PINA PLATANO AJI LIMONES GUAMA LULO MARANON CANA,31404
