actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,No,REPARACION DE TODO TIPO DE MUEBLES,130
Oficios del hogar,Sí,,,,No,COMERCIO AL POR MENOR DE ARTICULOS DE BELLEZA POR CATALOGO,131
Trabajando,,,,,Sí,SERVICIO DE EDUCACION BASICA PRIMARIA SECUNDARIA Y MEDIA,132
Trabajando,,,,,Sí,CUIDADO DE NINOS,133
Trabajando,,,,,Sí,SELECCION DE PERSONAL PARA,134
Trabajando,,,,,Sí,DESARROLLO DE PRODUCTOS LITOGRAFICOS Y FLEXOGRAFICOS,135
Trabajando,,,,,Ya es pensionado,VENTA DE PRODUCTOS DE BELLEZA,136
Trabajando,,,,,Sí,ACONDICIONAMIENTO FISICO,137
Trabajando,,,,,No,TRANSPORTE DE PERSONAS,138
Trabajando,,,,,Sí,VENTA DE COMBUSTIBLE,139
Trabajando,,,,,Sí,SERVICIOS DE INGENIERIA EN HOGARES Y EMPRESAS,140
Oficios del hogar,Sí,,,,No,PRESTACION DE SERVICIOS DE SALUD,141
Trabajando,,,,,No,VENTA DE ARTICULOS DE CACHARRERIA,142
Trabajando,,,,,No,VENTA ARTICULOS DE FERRETERIA,143
Trabajando,,,,,Sí,VENTA DE GRANOS Y ABARROTES,144
Trabajando,,,,,Sí,VENTA DE ARTICULOS DE FERRETERIA,145
Trabajando,,,,,No,SERVICIO DE TRANSPORTE DE PRODUCTOS AGRICOLAS,146
Trabajando,,,,,No,PRODUCCION DE LECHE CRUDA,147
Trabajando,,,,,No,PRODUCCION AGRICOLA PLATANOS YUCA PINA,148
Trabajando,,,,,Sí,RECAUDO Y COBRO DE IMPUESTOS,149
Trabajando,,,,,Sí,VERIFICACION E INVESTIGACION  DE ACLARACIONES DE LOS CONTRIBUYENTES,150
Trabajando,,,,,No,VENTA AL POR MENOR  DE MATERIAL RECICLABLE,151
Trabajando,,,,,No,CONSTRUCCION DE VIVIENDAS PARA USO RESIDENCIAL,152
Trabajando,,,,,No,VENTA AL POR MENOR DE DETALLES EN FECHAS ESPECIALES,153
Trabajando,,,,,Ya es pensionado,SERVICIOS DE ALISTAMIENTO Y ESTERILIZACION DE INSTRUMENTOS QUIRURGICOS,154
Trabajando,,,,,No,SERVICIO DE ACARREO TERRESTRE EN CAMION A NIVEL URBANO,155
Trabajando,,,,,Sí,VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA,156
Trabajando,,,,,No,SERVICIO DE ASEO A DIFERENTES HOGARES,157
Trabajando,,,,,Sí,COMPRA Y VENTA DE VEHICULOS USADOS,158
Oficios del hogar,Sí,,,,No,COMERCIO AL POR MAYOR Y POR MENOR DE CALZADO,159
Trabajando,,,,,Sí,SERVICIOS DE EDUCACION PREESCOLAR PRIMARIA Y SECUNDARIA,160
Oficios del hogar,Sí,,,,No,PREPARACION Y VENTA DE POSTRES,161
Trabajando,,,,,Ya es pensionado,SERVICIOS DE SALUD,162
Trabajando,,,,,No,TERAPEUTA DE HITOPRESION,163
Trabajando,,,,,No,EDITORA DE VIDEOS Y CINE,164
Buscando trabajo,Sí,,,,No,LIMPIAR LA MALESA DE LOS LOTES,165
Trabajando,,,,,No,SERVICIO DE LIMPIEZA CON GUADANA A DIFERENTES FINCAS,166
Trabajando,,,,,No,PREPARACION DE ALIMENTOS CON SERVICIO A LA MESA EN RESTAURANTE,167
Trabajando,,,,,No,SERVICIO DE ORDENO MANUAL DE GANADO VACUNO,168
Trabajando,,,,,No,SERVICIO DE RECOLECCION DE MATERIAL RECICLABLE,169
Oficios del hogar,Sí,,,,No,SERVICIO DE RECOLECCION DE MATERIAL RECICLABLE,170
Buscando trabajo,Sí,,,,No,SERVICIO A LA MESA  DE EVENTOS SOCIALES,171
Oficios del hogar,Sí,,,,No,REALIZAR ASEO GENERAL A HOGARES,172
Trabajando,,,,,No,MANTENIMIENTO Y REPARACION DE AIRES ACONDICIONADOS A CLIENTES PRIVADOS,173
Trabajando,,,,,Sí,VENTA POR MAYOR Y GRANEL DE ALIMENTO Y ASEO PARA HOGAR,174
Trabajando,,,,,Sí,ATENCION DE NINOS Y ADOLESCENTES,175
Trabajando,,,,,Sí,ES UN ENTE TERRITORIAL QUE ADMINISTRA Y GESTIONA EL DESARROLLO MUNICIPAL,176
Trabajando,,,,,Sí,TRASPORTE DE PERSONA EN SERVICIOS MUNICIPAL,177
Oficios del hogar,Sí,,,,Ya es pensionado,PRODUCCION DE ACCESORIOS HECHOS EN LANA,178
Estudiando,Sí,,,,No,PRODUCCION DE ACCESORIOS HECHOS EN LANA,179
Trabajando,,,,,Sí,ESCUELA DE CONDUCCION,180
Trabajando,,,,,No,PREPARACION DE ALIMENTOS CON SERVICIO A LA MESA EN KIOSCO,181
Trabajando,,,,,No,TRANSPORTAR PERSONAS EN MOTO,182
Trabajando,,,,,No,SERVICIOS MEDICOS CON HOSPITALIZACION,183
Trabajando,,,,,No,CONDUCTOR DE MOTOTAXI EN SECTOR URBANO,184
Buscando trabajo,Sí,,,,No,SERVICIO DE MANIQUIUR Y PEDIQUIUR,185
Trabajando,,,,,No,SERVICIOS A DIFERENTES CULTIVOS,186
Trabajando,,,,,No,SERVICIO DOMESTICOS A HOGARES,187
Trabajando,,,,,Sí,SERVICIO DE SEGURIDAD PRIVADA,188
Trabajando,,,,,Sí,VENTA DE MEDICAMENTOS AL POR MENOR PARA EL CONSUMO HUMANO,189
Buscando trabajo,Sí,,,,No,SERVICIO DE CONSTRUCCION DE CASAS Y VIVIENDAS,190
Trabajando,,,,,No,SERVICIO DOMESTICO A HOGARES,191
Trabajando,,,,,No,SERVICIO DE TRANSPORTE DE PASAJEROS EN TAXI,192
Trabajando,,,,,No,SERVICIO DOMESTICO A HOGAR,193
Trabajando,,,,,Sí,PREVENCION Y PROTECCION A INFANTES,194
Trabajando,,,,,Sí,SERVICIOS DE EDUCACION PREESCOLAR PRIMARIA SEGUNDARIA Y MEDIA,195
Trabajando,,,,,No,CONSTRUCCION DE EDIFICACIONES PARA USO RESIDENCIAL,196
Trabajando,,,,,Sí,PRESTACION DE SERVICIO OPERATIVOS EN HIDROCARBUROS,197
Trabajando,,,,,Sí,VENTA DE POLLO BROASTED ASADO  Y COMIDAS ESPECIALES,198
Buscando trabajo,Sí,,,,No,PRESTA SERVICIOS DE BACHILLERATO POR CICLOS,199
Trabajando,,,,,No,HACER ASEO EN CASAS,200
Oficios del hogar,Sí,,,,No,ELABORACION DE TEJIDOS EN CROCHET,201
Trabajando,,,,,No,VENTA DE FRITOS PAQUETES Y JUGOS EN LA PLAYA,202
Estudiando,Sí,,,,No,ELABORACION DE TEJIDOS EN CROCHET,203
Trabajando,,,,,Sí,SERVICIO DE RECOLECCION DESECHOS NO PELIGROSOS,204
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE POTREROS EN FINCAS GANADERAS,205
Trabajando,,,,,No,SERVICIO DE LIMPIEZA CON GUADANAS A DIFERENTES FINCAS,206
Trabajando,,,,,Sí,SERVICIOS DE ALOJAMIENTO,207
Otra actividad ¿cuál?,No,No,No,No,No,None,208
Trabajando,,,,,Sí,COFECCIONES,209
Oficios del hogar,Sí,,,,No,RECICLAJE,210
Trabajando,,,,,Sí,CASINO,211
Trabajando,,,,,No,SERVICIO DE CAFETERIA,212
Trabajando,,,,,Sí,LATONERIA Y PINTURA,213
Oficios del hogar,Sí,,,,No,SERVICIO DOMESTICO A HOGARES,214
Trabajando,,,,,No,PREPARACION Y VENTA DE AREPAS,215
Trabajando,,,,,No,PRODUCCION Y VENTA PRODUCTOS AGRICOLAS,216
Trabajando,,,,,No,MONTAJES DE SOLDADURA,217
Trabajando,,,,,Sí,SEGURIDAD PRIVADA,218
Trabajando,,,,,No,AGRICULTURA PARA AUTO CONSUMO Y VENTA,219
Otra actividad ¿cuál?,Sí,,,,No,PREPARACION DE ALIMENTOS CON SERVICIO A LA MESA,220
Buscando trabajo,No,Sí,,,No,SERVICIO DE ASEO A DIFERENTES HOGARES,221
Oficios del hogar,Sí,,,,No,SERVICIO DOMESTICO PARA HOGARES,222
Trabajando,,,,,No,VENTA AL  PORMENOR DE VIVERES Y ABARROTES,223
Trabajando,,,,,Sí,SERVICIO  DE TRANSPORTE MUNICIPAL  DE ESTUDIANTES,224
Trabajando,,,,,Sí,SERVICIO DE TRANSPORTE IMTERMUNICIPAL DE PASAJEROS,225
Trabajando,,,,,Sí,PROVEER CONSULTORIA TECNICA EN DISENO Y ARQUITECTURA,226
Trabajando,,,,,No,VENTA AL POR MENOR DE VIVERES,227
Trabajando,,,,,Sí,MOVILIDAD URBANA,228
Trabajando,,,,,Ya es pensionado,CONFECCION DE ROPA,229
Trabajando,,,,,No,CONDUCTOR DE TAXXI,230
Buscando trabajo,No,No,Sí,,No,AGRICULTURA Y SIEMBRA DE CULTIVOS DE PANCOGER,231
Trabajando,,,,,Sí,SERVICIOS DE APRENDIZAJE Y ENSENANZA,232
Trabajando,,,,,Sí,RECOPILAR PROVEER Y CONSOLIDAR LA INFORMACION ESTADISTICA,233
Trabajando,,,,,Sí,PROTEGER A LAS PERSONAS FORZADAS A HUIR,234
